,timestamp,qnum,horizontal_ratio,vertical_ratio,blinking_ratio,state
0,1733383201.2711515,1,0.5880813953488373,0.6291208791208791,3.176764691463572,4
2,1733383202.3116722,1,0.4801829268292683,0.6923076923076923,3.102234504060432,5
3,1733383202.8126314,1,0.4404761904761904,0.75,3.647720724413815,5
4,1733383203.3218167,1,0.4590592334494774,0.7916666666666667,3.4587629277591136,5
5,1733383203.855528,1,0.5731707317073171,0.5224358974358975,3.2857817619282232,4
13,1733383208.398296,3,0.5075493612078978,0.4541666666666666,2.678757493943366,5
14,1733383209.0062966,3,0.4066931366988088,0.65,2.888934754862595,5
15,1733383209.5920036,3,0.4224738675958188,0.65,2.951328064332556,5
16,1733383210.187167,3,0.4166666666666666,0.6263736263736264,3.113725873482763,5
18,1733383211.3330536,4,0.5853658536585367,0.554945054945055,3.1552796974879938,4
19,1733383211.919953,4,0.5476190476190477,0.6428571428571428,2.998308557342104,4
20,1733383212.4916131,4,0.758130081300813,0.5494505494505495,3.060754636687693,2
22,1733383213.643725,4,0.6341463414634146,0.9242424242424244,3.720725363973344,3
23,1733383214.2243395,5,0.5365853658536586,0.6923076923076923,3.1547841006784427,4
24,1733383214.8138003,5,0.4207317073170732,0.6442307692307692,3.377552064626362,5
30,1733383218.2598934,6,0.3902439024390244,0.7083333333333334,3.413298020872009,5
31,1733383218.8166173,6,0.4024390243902439,0.7307692307692308,3.151539812295064,5
32,1733383219.3965847,6,0.3817073170731707,0.75,3.35437691096409,5
44,1733383226.281341,8,0.4326364692218351,0.5,3.1852307006322214,5
45,1733383226.8684964,8,0.4047619047619047,0.7307692307692308,3.365225951643499,5
46,1733383227.4596722,8,0.3969221835075494,0.7083333333333334,3.431542619557521,5
